age_group,sex,education,income_group,race_group,obesity_rate,n
80+,Male,Attended college or technical school,25k-35k,NH-White,0.20876288659793815,1940
55-59,Female,Attended college or technical school,35k-50k,NH-White,0.43004646360351056,1937
65-69,Male,Attended college or technical school,15k-25k,NH-White,0.37460978147762747,1922
30-34,Male,Graduated college or technical school,200k+,NH-White,0.18375845913586675,1921
40-44,Female,Graduated high school,50k-100k,NH-White,0.42528735632183906,1914
40-44,Male,Graduated high school,100k-200k,NH-White,0.43218997361477574,1895
55-59,Male,Graduated high school,35k-50k,NH-White,0.42199894235854046,1891
18-24,Female,Graduated high school,50k-100k,NH-White,0.2169454937938478,1853
18-24,Male,Graduated high school,25k-35k,NH-White,0.20923913043478262,1840
45-49,Male,Graduated high school,100k-200k,NH-White,0.4839586731919521,1839
18-24,Male,Graduated high school,100k-200k,NH-White,0.16091954022988506,1827
70-74,Male,Attended college or technical school,100k-200k,NH-White,0.3458980044345898,1804
55-59,Female,Graduated college or technical school,35k-50k,NH-White,0.3610648918469218,1803
70-74,Male,Attended college or technical school,15k-25k,NH-White,0.3511705685618729,1794
80+,Male,Graduated college or technical school,25k-35k,NH-White,0.1749156355455568,1778
75-79,Male,Graduated college or technical school,200k+,NH-White,0.18851997749015195,1777
75-79,Male,Attended college or technical school,25k-35k,NH-White,0.3381171067738232,1742
25-29,Female,Graduated college or technical school,35k-50k,NH-White,0.2918108419838524,1734
65-69,Male,Graduated college or technical school,25k-35k,NH-White,0.31844547563805103,1724
60-64,Male,Graduated college or technical school,35k-50k,NH-White,0.3557242990654206,1712
55-59,Female,Graduated high school,15k-25k,NH-White,0.47540983606557374,1708
60-64,Female,Graduated high school,<15k,NH-White,0.4342182890855457,1695
30-34,Male,Attended college or technical school,100k-200k,NH-White,0.3577764636309876,1691
80+,Female,Graduated high school,<15k,NH-White,0.255827854154214,1673
55-59,Female,Graduated high school,35k-50k,NH-White,0.4276315789473684,1672
65-69,Female,Graduated college or technical school,200k+,NH-White,0.16284680337756333,1658
35-39,Female,Graduated high school,50k-100k,NH-White,0.4153567110036276,1654
60-64,Male,Attended college or technical school,25k-35k,NH-White,0.41262135922330095,1648
60-64,Male,Attended college or technical school,15k-25k,NH-White,0.4089242053789731,1636
55-59,Male,Graduated high school,15k-25k,NH-White,0.44108574953732266,1621
25-29,Male,Graduated high school,35k-50k,NH-White,0.3310643564356436,1616
35-39,Female,Attended college or technical school,100k-200k,NH-White,0.35997521685254025,1614
55-59,Female,Graduated high school,25k-35k,NH-White,0.44585180493983534,1579
35-39,Male,Graduated high school,100k-200k,NH-White,0.4143857415658816,1571
80+,Female,Graduated college or technical school,15k-25k,NH-White,0.21392081736909324,1566
65-69,Female,Graduated college or technical school,15k-25k,NH-White,0.3869314541960282,1561
50-54,Female,Attended college or technical school,35k-50k,NH-White,0.5057766367137355,1558
65-69,Female,Graduated high school,<15k,NH-White,0.44380218368657676,1557
60-64,Male,Graduated high school,<15k,NH-White,0.38753213367609257,1556
65-69,Male,Graduated high school,100k-200k,NH-White,0.41328175370728565,1551
60-64,Female,Graduated college or technical school,25k-35k,NH-White,0.3592233009708738,1545
25-29,Male,Graduated college or technical school,35k-50k,NH-White,0.2238219895287958,1528
75-79,Male,Graduated high school,15k-25k,NH-White,0.3386034255599473,1518
70-74,Female,Graduated college or technical school,15k-25k,NH-White,0.34963648380700596,1513
55-59,Male,Graduated high school,25k-35k,NH-White,0.42356055592322966,1511
55-59,Female,Attended college or technical school,25k-35k,NH-White,0.45786330457863306,1507
30-34,Female,Graduated high school,50k-100k,NH-White,0.3918558077436582,1498
55-59,Female,Attended college or technical school,15k-25k,NH-White,0.46174496644295304,1490
70-74,Female,Attended college or technical school,100k-200k,NH-White,0.2800269905533063,1482
75-79,Male,Graduated college or technical school,25k-35k,NH-White,0.289419795221843,1465
18-24,Male,Attended college or technical school,100k-200k,NH-White,0.14617486338797814,1464
55-59,Male,Attended college or technical school,35k-50k,NH-White,0.4473684210526316,1444
18-24,Male,Attended college or technical school,35k-50k,NH-White,0.19456066945606695,1434
50-54,Female,Graduated college or technical school,35k-50k,NH-White,0.4143955276030748,1431
30-34,Female,Graduated college or technical school,200k+,NH-White,0.14528703047484054,1411
30-34,Female,Attended college or technical school,35k-50k,NH-White,0.46586059743954483,1406
30-34,Female,Graduated college or technical school,35k-50k,NH-White,0.3777292576419214,1374
60-64,Female,Attended college or technical school,<15k,NH-White,0.4335766423357664,1370
70-74,Female,Graduated high school,<15k,NH-White,0.39002932551319647,1364
40-44,Female,Attended college or technical school,35k-50k,NH-White,0.48159057437407954,1358
35-39,Female,Attended college or technical school,35k-50k,NH-White,0.47488921713441656,1354
80+,Male,Graduated college or technical school,200k+,NH-White,0.14042867701404288,1353
55-59,Female,Graduated high school,<15k,NH-White,0.4769687964338782,1346
40-44,Female,Graduated college or technical school,35k-50k,NH-White,0.39046199701937406,1342
60-64,Female,Graduated high school,100k-200k,NH-White,0.3429220287660863,1321
65-69,Female,Attended college or technical school,<15k,NH-White,0.42369020501138954,1317
