age_group,sex,education,income_group,race_group,obesity_rate,n,reliable,obesity_rate_smoothed,obesity_rate_modeled
30-34,Male,Graduated high school,50k-100k,NH-White,0.3421953578182485,2507,1,0.3421641265345067,0.38028149538384
75-79,Female,Graduated high school,15k-25k,NH-White,0.3508019238661296,2489,1,0.3506679696190913,0.34887456039908854
80+,Female,Graduated high school,50k-100k,NH-White,0.2317147786501791,2478,1,0.2330047242674794,0.231765858520413
70-74,Male,Graduated college or technical school,200k+,NH-White,0.2018267864803657,2468,1,0.2034808390717522,0.20352595316474228
35-39,Male,Graduated high school,50k-100k,NH-White,0.3703882739653651,2466,1,0.370017672502518,0.40770014385273584
60-64,Female,Attended college or technical school,35k-50k,NH-White,0.3999545104979159,2453,1,0.3992247447519461,0.4387555002399702
80+,Male,Graduated high school,50k-100k,NH-White,0.215693912656166,2444,1,0.2171958567095247,0.21662419820124953
25-29,Male,Attended college or technical school,50k-100k,NH-White,0.3182580131111949,2428,1,0.3185179344189079,0.32722220731991036
70-74,Female,Graduated high school,15k-25k,NH-White,0.4024796548017152,2416,1,0.4017078793821089,0.3934303715677959
45-49,Male,Graduated high school,50k-100k,NH-White,0.4481417009808539,2414,1,0.4468087942452847,0.4500232542421925
18-24,Male,Attended college or technical school,50k-100k,NH-White,0.1804251455503152,2410,1,0.1823816507147353,0.2095666010256095
65-69,Female,Graduated high school,15k-25k,NH-White,0.4122774025494264,2396,1,0.4113781053075516,0.4185844396645842
75-79,Female,Graduated high school,50k-100k,NH-White,0.289911827515674,2389,1,0.2905274836306903,0.33854561679336537
35-39,Male,Attended college or technical school,100k-200k,NH-White,0.4017503057860206,2373,1,0.4009738254672998,0.38528237549406413
25-29,Male,Graduated high school,50k-100k,NH-White,0.3127141761207868,2368,1,0.313049956639582,0.328793787509498
70-74,Male,Graduated high school,35k-50k,NH-White,0.3824865366363991,2350,1,0.3819453731358119,0.3686212063522368
55-59,Male,Graduated high school,100k-200k,NH-White,0.4591398469064305,2315,1,0.4576099669748747,0.4136690849567431
60-64,Male,Graduated high school,100k-200k,NH-White,0.4295984233534999,2306,1,0.4284420339130417,0.39164703679801693
80+,Male,Attended college or technical school,35k-50k,NH-White,0.2070617350284826,2299,1,0.2087683794753868,0.22012714158065033
75-79,Male,Graduated college or technical school,35k-50k,NH-White,0.2814846565099336,2298,1,0.282232975785018,0.2569612863541237
30-34,Female,Attended college or technical school,50k-100k,NH-White,0.385833248080161,2286,1,0.385233778963274,0.3992953483417151
65-69,Male,Graduated college or technical school,35k-50k,NH-White,0.330677140844934,2259,1,0.3307934854243776,0.3172540521599804
65-69,Female,Attended college or technical school,15k-25k,NH-White,0.4200935563789405,2183,1,0.4190017444839231,0.4168502184594291
70-74,Female,Attended college or technical school,15k-25k,NH-White,0.4232243148630006,2177,1,0.4220869779902342,0.3917301502064494
70-74,Male,Attended college or technical school,25k-35k,NH-White,0.3921989783691423,2176,1,0.3914830480049629,0.3735121559037616
70-74,Male,Graduated high school,25k-35k,NH-White,0.3997812419520107,2168,1,0.3989592172518898,0.3751820772927406
45-49,Female,Attended college or technical school,100k-200k,NH-White,0.4370972704723327,2168,1,0.4357659278215249,0.4483843744233172
60-64,Female,Graduated college or technical school,35k-50k,NH-White,0.3486228441140212,2141,1,0.3484975293486015,0.360845532191439
65-69,Male,Graduated high school,15k-25k,NH-White,0.4091230054942026,2115,1,0.40815001565871,0.39755366183021074
50-54,Male,Graduated high school,100k-200k,NH-White,0.5017926235596155,2108,1,0.4995161260202825,0.43374123568683487
80+,Female,Graduated college or technical school,100k-200k,NH-White,0.1197777659335119,2101,1,0.1228717565434082,0.16554244820630026
70-74,Female,Graduated college or technical school,25k-35k,NH-White,0.3678042799896324,2101,1,0.3674065787076078,0.31960685669481603
65-69,Male,Attended college or technical school,25k-35k,NH-White,0.4239295560867198,2095,1,0.4227383750444106,0.39822881827119183
80+,Female,Graduated college or technical school,25k-35k,NH-White,0.171274424320963,2090,1,0.1736557423577863,0.1861477197074904
75-79,Male,Attended college or technical school,35k-50k,NH-White,0.3509129530694484,2088,1,0.3507520646726642,0.3238048149221023
60-64,Female,Attended college or technical school,25k-35k,NH-White,0.3963986820904743,2084,1,0.3955919964258481,0.44568350340481167
60-64,Male,Graduated high school,35k-50k,NH-White,0.4079312154952693,2076,1,0.4069571843950016,0.4191738097956316
60-64,Female,Graduated high school,35k-50k,NH-White,0.4084438723639353,2070,1,0.4074597346481146,0.44051201235128956
75-79,Male,Graduated high school,35k-50k,NH-White,0.3694666147168904,2045,1,0.36903414653674,0.32536791973258206
18-24,Male,Graduated college or technical school,50k-100k,NH-White,0.1870926946111822,2043,1,0.1892990844468595,0.16070098161991442
65-69,Female,Attended college or technical school,100k-200k,NH-White,0.316933650141671,2033,1,0.3172625970459097,0.38506963141860767
40-44,Female,Attended college or technical school,100k-200k,NH-White,0.3547238898161296,2029,1,0.354502865179515,0.4267122764572452
60-64,Female,Graduated high school,25k-35k,NH-White,0.4041411665022957,1969,1,0.4031718778442795,0.4474456392203128
50-54,Female,Graduated high school,50k-100k,NH-White,0.4774569822772682,1968,1,0.4753863704150943,0.4767802120965734
65-69,Female,Graduated college or technical school,25k-35k,NH-White,0.3885171427897736,1962,1,0.3877797495588506,0.34270772553969286
18-24,Male,Graduated high school,35k-50k,NH-White,0.2138329180798979,1954,1,0.2157339460160358,0.21538653220143122
60-64,Male,Graduated high school,25k-35k,NH-White,0.4156679219783884,1943,1,0.4145105926871278,0.4260273199612463
60-64,Female,Graduated high school,15k-25k,NH-White,0.4337587760112861,1939,1,0.4323234604639808,0.4449873855478768
30-34,Male,Graduated college or technical school,200k+,NH-White,0.1836796437108486,1921,1,0.1860764851544001,0.21636690262031913
60-64,Male,Graduated high school,15k-25k,NH-White,0.3940752769773412,1903,1,0.393229114876138,0.42359652906997186
18-24,Female,Graduated college or technical school,50k-100k,NH-White,0.1302874655449543,1902,1,0.1335369495001022,0.1727959327440872
40-44,Male,Graduated high school,100k-200k,NH-White,0.4261507166444584,1895,1,0.4248011610436069,0.40727803588524447
