age_group,sex,education,income_group,race_group,obesity_rate,n,reliable
60-64,Male,Did not graduate high school,200k+,Asian,0.8899248132988277,2,0
40-44,Female,Did not graduate high school,200k+,Asian,0.0,2,0
60-64,Male,Did not graduate high school,100k-200k,NHOPI,0.0,2,0
60-64,Female,Did not graduate high school,100k-200k,AIAN,0.0,2,0
45-49,Female,Did not graduate high school,15k-25k,Asian,0.0,2,0
70-74,Male,Did not graduate high school,35k-50k,NHOPI,1.0,2,0
18-24,Female,Did not graduate high school,25k-35k,NHOPI,0.6303130536684176,2,0
18-24,Male,Graduated college or technical school,35k-50k,NHOPI,0.0,2,0
18-24,Female,Graduated high school,200k+,NHOPI,0.0,2,0
45-49,Male,Graduated high school,200k+,NHOPI,1.0,2,0
60-64,Male,Graduated college or technical school,<15k,NHOPI,0.8891010016590065,2,0
18-24,Male,Did not graduate high school,100k-200k,NHOPI,0.0487983101762289,2,0
50-54,Female,Attended college or technical school,200k+,NHOPI,1.0,2,0
35-39,Male,Did not graduate high school,<15k,NHOPI,0.5507587116750069,2,0
40-44,Male,Graduated college or technical school,<15k,NHOPI,1.0,2,0
70-74,Female,Did not graduate high school,35k-50k,Asian,0.0,2,0
80+,Male,Graduated high school,200k+,NHOPI,0.0,2,0
80+,Female,Graduated high school,100k-200k,AIAN,0.5781520367003192,2,0
50-54,Female,Did not graduate high school,100k-200k,Other/Multiracial,1.0,2,0
45-49,Female,Did not graduate high school,35k-50k,Asian,0.9390606741083972,2,0
60-64,Male,Did not graduate high school,200k+,NH-Black,1.0,2,0
55-59,Male,Graduated high school,200k+,NHOPI,0.1680665119638989,2,0
60-64,Female,Did not graduate high school,50k-100k,Other/Multiracial,0.3107865593715201,2,0
25-29,Female,Attended college or technical school,100k-200k,NHOPI,0.0097529641693893,2,0
70-74,Female,Did not graduate high school,200k+,Asian,0.0,2,0
60-64,Male,Did not graduate high school,50k-100k,NHOPI,1.0,2,0
80+,Male,Graduated high school,200k+,AIAN,0.0,2,0
25-29,Female,Attended college or technical school,200k+,NHOPI,0.8450651101875116,2,0
35-39,Male,Graduated high school,200k+,AIAN,0.0,2,0
50-54,Female,Did not graduate high school,35k-50k,Asian,0.0,2,0
25-29,Male,Did not graduate high school,15k-25k,NHOPI,1.0,2,0
18-24,Female,Did not graduate high school,200k+,Other/Multiracial,0.0,2,0
80+,Male,Did not graduate high school,100k-200k,Other/Multiracial,0.3841022266151405,2,0
60-64,Female,Did not graduate high school,50k-100k,NHOPI,0.0711626704468117,2,0
80+,Male,Did not graduate high school,200k+,Other/Multiracial,0.0,2,0
45-49,Male,Did not graduate high school,15k-25k,NHOPI,0.0870958075305567,2,0
70-74,Male,Did not graduate high school,25k-35k,Asian,0.0934383343972192,2,0
60-64,Male,Attended college or technical school,200k+,NHOPI,1.0,2,0
40-44,Male,Did not graduate high school,50k-100k,NHOPI,1.0,2,0
45-49,Male,Graduated college or technical school,25k-35k,NHOPI,0.9753918959609436,2,0
80+,Male,Attended college or technical school,200k+,NH-Black,0.323504746450599,2,0
