age_group,sex,education,income_group,race_group,obesity_rate,n,reliable,obesity_rate_smoothed
65-69,Female,Attended college or technical school,15k-25k,NH-White,0.4200935563789405,2183,1,0.4190017444839231
70-74,Female,Attended college or technical school,15k-25k,NH-White,0.4232243148630006,2177,1,0.4220869779902342
70-74,Male,Attended college or technical school,25k-35k,NH-White,0.3921989783691423,2176,1,0.3914830480049629
70-74,Male,Graduated high school,25k-35k,NH-White,0.3997812419520107,2168,1,0.3989592172518898
45-49,Female,Attended college or technical school,100k-200k,NH-White,0.4370972704723327,2168,1,0.43576592782152496
60-64,Female,Graduated college or technical school,35k-50k,NH-White,0.3486228441140212,2141,1,0.34849752934860156
65-69,Male,Graduated high school,15k-25k,NH-White,0.4091230054942026,2115,1,0.40815001565871
50-54,Male,Graduated high school,100k-200k,NH-White,0.5017926235596155,2108,1,0.4995161260202825
80+,Female,Graduated college or technical school,100k-200k,NH-White,0.1197777659335119,2101,1,0.12287175654340828
70-74,Female,Graduated college or technical school,25k-35k,NH-White,0.3678042799896324,2101,1,0.3674065787076078
65-69,Male,Attended college or technical school,25k-35k,NH-White,0.4239295560867198,2095,1,0.4227383750444106
80+,Female,Graduated college or technical school,25k-35k,NH-White,0.171274424320963,2090,1,0.17365574235778639
75-79,Male,Attended college or technical school,35k-50k,NH-White,0.3509129530694484,2088,1,0.35075206467266423
60-64,Female,Attended college or technical school,25k-35k,NH-White,0.3963986820904743,2084,1,0.39559199642584814
60-64,Male,Graduated high school,35k-50k,NH-White,0.4079312154952693,2076,1,0.40695718439500167
60-64,Female,Graduated high school,35k-50k,NH-White,0.4084438723639353,2070,1,0.40745973464811464
75-79,Male,Graduated high school,35k-50k,NH-White,0.3694666147168904,2045,1,0.36903414653674
18-24,Male,Graduated college or technical school,50k-100k,NH-White,0.1870926946111822,2043,1,0.1892990844468595
65-69,Female,Attended college or technical school,100k-200k,NH-White,0.316933650141671,2033,1,0.3172625970459097
40-44,Female,Attended college or technical school,100k-200k,NH-White,0.3547238898161296,2029,1,0.35450286517951507
60-64,Female,Graduated high school,25k-35k,NH-White,0.4041411665022957,1969,1,0.40317187784427955
50-54,Female,Graduated high school,50k-100k,NH-White,0.4774569822772682,1968,1,0.4753863704150943
65-69,Female,Graduated college or technical school,25k-35k,NH-White,0.3885171427897736,1962,1,0.38777974955885064
18-24,Male,Graduated high school,35k-50k,NH-White,0.2138329180798979,1954,1,0.2157339460160358
60-64,Male,Graduated high school,25k-35k,NH-White,0.4156679219783884,1943,1,0.41451059268712787
60-64,Female,Graduated high school,15k-25k,NH-White,0.4337587760112861,1939,1,0.43232346046398085
30-34,Male,Graduated college or technical school,200k+,NH-White,0.1836796437108486,1921,1,0.18607648515440015
60-64,Male,Graduated high school,15k-25k,NH-White,0.3940752769773412,1903,1,0.39322911487613804
18-24,Female,Graduated college or technical school,50k-100k,NH-White,0.1302874655449543,1902,1,0.13353694950010228
40-44,Male,Graduated high school,100k-200k,NH-White,0.4261507166444584,1895,1,0.4248011610436069
75-79,Female,Attended college or technical school,15k-25k,NH-White,0.3567246169626071,1892,1,0.35645660887666347
45-49,Male,Graduated high school,100k-200k,NH-White,0.4675479159071711,1839,1,0.4654934426543511
18-24,Male,Graduated high school,100k-200k,NH-White,0.1582607628865463,1827,1,0.16118957499268421
70-74,Male,Attended college or technical school,100k-200k,NH-White,0.3420975340738598,1804,1,0.3420559315359529
60-64,Female,Attended college or technical school,15k-25k,NH-White,0.455132871498668,1799,1,0.45323710376916254
75-79,Male,Graduated college or technical school,200k+,NH-White,0.1920891944853199,1777,1,0.1945374242214211
75-79,Male,Graduated high school,25k-35k,NH-White,0.3544847668887351,1755,1,0.35423383353357124
60-64,Male,Attended college or technical school,35k-50k,NH-White,0.411381688518226,1716,1,0.41014753978520635
30-34,Male,Attended college or technical school,100k-200k,NH-White,0.3710907282689189,1691,1,0.37054099271960284
65-69,Female,Graduated college or technical school,200k+,NH-White,0.1531615968411108,1658,1,0.15647426216247406
80+,Male,Attended college or technical school,25k-35k,NH-White,0.1836599345882133,1636,1,0.18646715483434062
75-79,Female,Graduated college or technical school,25k-35k,NH-White,0.2928515102787989,1625,1,0.29369808529954244
80+,Male,Graduated high school,15k-25k,NH-White,0.2033533724003326,1619,1,0.20583125341651487
70-74,Male,Graduated college or technical school,25k-35k,NH-White,0.346430377903394,1618,1,0.34630520534914205
35-39,Female,Attended college or technical school,100k-200k,NH-White,0.3496464527581902,1614,1,0.3494622881504948
18-24,Female,Attended college or technical school,50k-100k,NH-White,0.2143515115695932,1609,1,0.21664320261328246
35-39,Male,Graduated high school,100k-200k,NH-White,0.4006145758334177,1571,1,0.39947040949531154
70-74,Male,Graduated high school,15k-25k,NH-White,0.3462660131509401,1567,1,0.34613993085486394
65-69,Male,Graduated high school,100k-200k,NH-White,0.3977115923087266,1551,1,0.396608037089519
25-29,Female,Attended college or technical school,50k-100k,NH-White,0.3849487329110151,1545,1,0.3840840757556907
18-24,Male,Graduated high school,25k-35k,NH-White,0.1961966340324617,1543,1,0.1989307268148652
55-59,Female,Attended college or technical school,35k-50k,NH-White,0.4215656701697949,1514,1,0.419972183681842
80+,Male,Graduated college or technical school,25k-35k,NH-White,0.211479421235796,1487,1,0.21401221248867708
75-79,Male,Attended college or technical school,25k-35k,NH-White,0.3970262387828384,1487,1,0.3958896796557516
70-74,Female,Attended college or technical school,100k-200k,NH-White,0.2713343936920215,1482,1,0.2726879619175069
