age_group,sex,education,income_group,race_group,obesity_rate,n,reliable
80+,Male,Graduated high school,50k-100k,NH-White,0.215693912656166,2444,1
25-29,Male,Attended college or technical school,50k-100k,NH-White,0.3182580131111949,2428,1
70-74,Female,Graduated high school,15k-25k,NH-White,0.4024796548017152,2416,1
45-49,Male,Graduated high school,50k-100k,NH-White,0.4481417009808539,2414,1
18-24,Male,Attended college or technical school,50k-100k,NH-White,0.1804251455503152,2410,1
65-69,Female,Graduated high school,15k-25k,NH-White,0.4122774025494264,2396,1
75-79,Female,Graduated high school,50k-100k,NH-White,0.289911827515674,2389,1
35-39,Male,Attended college or technical school,100k-200k,NH-White,0.4017503057860206,2373,1
25-29,Male,Graduated high school,50k-100k,NH-White,0.3127141761207868,2368,1
70-74,Male,Graduated high school,35k-50k,NH-White,0.3824865366363991,2350,1
55-59,Male,Graduated high school,100k-200k,NH-White,0.4591398469064305,2315,1
60-64,Male,Graduated high school,100k-200k,NH-White,0.4295984233534999,2306,1
80+,Male,Attended college or technical school,35k-50k,NH-White,0.2070617350284826,2299,1
75-79,Male,Graduated college or technical school,35k-50k,NH-White,0.2814846565099336,2298,1
30-34,Female,Attended college or technical school,50k-100k,NH-White,0.385833248080161,2286,1
65-69,Male,Graduated college or technical school,35k-50k,NH-White,0.330677140844934,2259,1
65-69,Female,Attended college or technical school,15k-25k,NH-White,0.4200935563789405,2183,1
70-74,Female,Attended college or technical school,15k-25k,NH-White,0.4232243148630006,2177,1
70-74,Male,Attended college or technical school,25k-35k,NH-White,0.3921989783691423,2176,1
70-74,Male,Graduated high school,25k-35k,NH-White,0.3997812419520107,2168,1
45-49,Female,Attended college or technical school,100k-200k,NH-White,0.4370972704723327,2168,1
60-64,Female,Graduated college or technical school,35k-50k,NH-White,0.3486228441140212,2141,1
65-69,Male,Graduated high school,15k-25k,NH-White,0.4091230054942026,2115,1
50-54,Male,Graduated high school,100k-200k,NH-White,0.5017926235596155,2108,1
80+,Female,Graduated college or technical school,100k-200k,NH-White,0.1197777659335119,2101,1
70-74,Female,Graduated college or technical school,25k-35k,NH-White,0.3678042799896324,2101,1
65-69,Male,Attended college or technical school,25k-35k,NH-White,0.4239295560867198,2095,1
80+,Female,Graduated college or technical school,25k-35k,NH-White,0.171274424320963,2090,1
75-79,Male,Attended college or technical school,35k-50k,NH-White,0.3509129530694484,2088,1
60-64,Female,Attended college or technical school,25k-35k,NH-White,0.3963986820904743,2084,1
60-64,Male,Graduated high school,35k-50k,NH-White,0.4079312154952693,2076,1
60-64,Female,Graduated high school,35k-50k,NH-White,0.4084438723639353,2070,1
75-79,Male,Graduated high school,35k-50k,NH-White,0.3694666147168904,2045,1
18-24,Male,Graduated college or technical school,50k-100k,NH-White,0.1870926946111822,2043,1
65-69,Female,Attended college or technical school,100k-200k,NH-White,0.316933650141671,2033,1
40-44,Female,Attended college or technical school,100k-200k,NH-White,0.3547238898161296,2029,1
60-64,Female,Graduated high school,25k-35k,NH-White,0.4041411665022957,1969,1
50-54,Female,Graduated high school,50k-100k,NH-White,0.4774569822772682,1968,1
65-69,Female,Graduated college or technical school,25k-35k,NH-White,0.3885171427897736,1962,1
18-24,Male,Graduated high school,35k-50k,NH-White,0.2138329180798979,1954,1
60-64,Male,Graduated high school,25k-35k,NH-White,0.4156679219783884,1943,1
60-64,Female,Graduated high school,15k-25k,NH-White,0.4337587760112861,1939,1
30-34,Male,Graduated college or technical school,200k+,NH-White,0.1836796437108486,1921,1
60-64,Male,Graduated high school,15k-25k,NH-White,0.3940752769773412,1903,1
18-24,Female,Graduated college or technical school,50k-100k,NH-White,0.1302874655449543,1902,1
40-44,Male,Graduated high school,100k-200k,NH-White,0.4261507166444584,1895,1
75-79,Female,Attended college or technical school,15k-25k,NH-White,0.3567246169626071,1892,1
45-49,Male,Graduated high school,100k-200k,NH-White,0.4675479159071711,1839,1
18-24,Male,Graduated high school,100k-200k,NH-White,0.1582607628865463,1827,1
70-74,Male,Attended college or technical school,100k-200k,NH-White,0.3420975340738598,1804,1
60-64,Female,Attended college or technical school,15k-25k,NH-White,0.455132871498668,1799,1
75-79,Male,Graduated college or technical school,200k+,NH-White,0.1920891944853199,1777,1
75-79,Male,Graduated high school,25k-35k,NH-White,0.3544847668887351,1755,1
60-64,Male,Attended college or technical school,35k-50k,NH-White,0.411381688518226,1716,1
30-34,Male,Attended college or technical school,100k-200k,NH-White,0.3710907282689189,1691,1
65-69,Female,Graduated college or technical school,200k+,NH-White,0.1531615968411108,1658,1
80+,Male,Attended college or technical school,25k-35k,NH-White,0.1836599345882133,1636,1
75-79,Female,Graduated college or technical school,25k-35k,NH-White,0.2928515102787989,1625,1
80+,Male,Graduated high school,15k-25k,NH-White,0.2033533724003326,1619,1
70-74,Male,Graduated college or technical school,25k-35k,NH-White,0.346430377903394,1618,1
35-39,Female,Attended college or technical school,100k-200k,NH-White,0.3496464527581902,1614,1
18-24,Female,Attended college or technical school,50k-100k,NH-White,0.2143515115695932,1609,1
35-39,Male,Graduated high school,100k-200k,NH-White,0.4006145758334177,1571,1
70-74,Male,Graduated high school,15k-25k,NH-White,0.3462660131509401,1567,1
65-69,Male,Graduated high school,100k-200k,NH-White,0.3977115923087266,1551,1
25-29,Female,Attended college or technical school,50k-100k,NH-White,0.3849487329110151,1545,1
18-24,Male,Graduated high school,25k-35k,NH-White,0.1961966340324617,1543,1
55-59,Female,Attended college or technical school,35k-50k,NH-White,0.4215656701697949,1514,1
80+,Male,Graduated college or technical school,25k-35k,NH-White,0.211479421235796,1487,1
75-79,Male,Attended college or technical school,25k-35k,NH-White,0.3970262387828384,1487,1
70-74,Female,Attended college or technical school,100k-200k,NH-White,0.2713343936920215,1482,1
18-24,Male,Attended college or technical school,100k-200k,NH-White,0.1892958491300287,1464,1
55-59,Male,Graduated high school,35k-50k,NH-White,0.4171328268778974,1451,1
65-69,Male,Graduated college or technical school,25k-35k,NH-White,0.3269998434298263,1443,1
30-34,Female,Graduated college or technical school,200k+,NH-White,0.1228914886257792,1411,1
18-24,Female,Graduated high school,50k-100k,NH-White,0.2573441272823867,1404,1
65-69,Male,Attended college or technical school,15k-25k,NH-White,0.3417044050030812,1403,1
60-64,Male,Attended college or technical school,25k-35k,NH-White,0.4010286570087227,1395,1
55-59,Female,Graduated college or technical school,35k-50k,NH-White,0.3503971089165363,1395,1
40-44,Female,Graduated high school,50k-100k,NH-White,0.4157446367779131,1394,1
45-49,Female,Graduated high school,50k-100k,NH-White,0.4311149312725538,1393,1
25-29,Female,Graduated college or technical school,35k-50k,NH-White,0.2708842717647748,1355,1
80+,Male,Graduated college or technical school,200k+,NH-White,0.1353124183655522,1353,1
70-74,Male,Attended college or technical school,15k-25k,NH-White,0.3649556290791386,1347,1
60-64,Male,Graduated college or technical school,35k-50k,NH-White,0.3444318114087719,1342,1
60-64,Female,Graduated high school,100k-200k,NH-White,0.356910311535153,1321,1
55-59,Female,Graduated high school,25k-35k,NH-White,0.4604364961659881,1293,1
55-59,Female,Graduated high school,35k-50k,NH-White,0.4688674055620101,1293,1
55-59,Female,Graduated high school,100k-200k,NH-White,0.3417827461707778,1283,1
60-64,Female,Graduated college or technical school,25k-35k,NH-White,0.3540677298690495,1280,1
60-64,Female,Graduated high school,<15k,NH-White,0.4240209423376626,1276,1
