age,sex,race,education,income,weight,year,prop
18-24,Female,NH-White,Did not graduate high school,200k+,71079,2020,0.00028969327380180506
18-24,Female,NH-White,Did not graduate high school,25k-35k,52728,2020,0.0002149009825830636
18-24,Female,NH-White,Did not graduate high school,35k-50k,76485,2020,0.00031172624891643186
18-24,Female,NH-White,Did not graduate high school,50k-100k,198171,2020,0.0008076760472513332
18-24,Female,NH-White,Did not graduate high school,<15k,53492,2020,0.0002180147807679646
18-24,Female,NH-White,Graduated college or technical school,100k-200k,369649,2020,0.0015065607136786313
18-24,Female,NH-White,Graduated college or technical school,15k-25k,69675,2020,0.0002839710582892383
18-24,Female,NH-White,Graduated college or technical school,200k+,181412,2020,0.0007393721941351603
18-24,Female,NH-White,Graduated college or technical school,25k-35k,75893,2020,0.000309313462888341
18-24,Female,NH-White,Graduated college or technical school,35k-50k,134708,2020,0.0005490229396487508
18-24,Female,NH-White,Graduated college or technical school,50k-100k,379209,2020,0.0015455239475106388
18-24,Female,NH-White,Graduated college or technical school,<15k,99437,2020,0.0004052706153298455
18-24,Female,NH-White,Graduated high school,100k-200k,498384,2020,0.0020312397834865263
18-24,Female,NH-White,Graduated high school,15k-25k,133636,2020,0.0005446538406249106
18-24,Female,NH-White,Graduated high school,200k+,155658,2020,0.00063440785060906
18-24,Female,NH-White,Graduated high school,25k-35k,154733,2020,0.000630637872440168
18-24,Female,NH-White,Graduated high school,35k-50k,243020,2020,0.0009904649671395864
18-24,Female,NH-White,Graduated high school,50k-100k,612953,2020,0.0024981831660073695
18-24,Female,NH-White,Graduated high school,<15k,138324,2020,0.0005637604975500624
18-24,Male,AIAN,Attended college or technical school,100k-200k,5264,2020,2.1454232520050955e-05
18-24,Male,AIAN,Attended college or technical school,15k-25k,2323,2020,9.467739769011849e-06
18-24,Male,AIAN,Attended college or technical school,200k+,1442,2020,5.877090291396937e-06
18-24,Male,AIAN,Attended college or technical school,25k-35k,2531,2020,1.0315475400503223e-05
18-24,Male,AIAN,Attended college or technical school,35k-50k,2658,2020,1.08330832139619e-05
18-24,Male,AIAN,Attended college or technical school,50k-100k,7373,2020,3.0049782745124562e-05
18-24,Male,AIAN,Attended college or technical school,<15k,3105,2020,1.265489969125346e-05
18-24,Male,AIAN,Did not graduate high school,100k-200k,2055,2020,8.375465013051808e-06
