age,sex,race,education,income,weight,year,prop
18-24,Male,NH-Black,Attended college or technical school,15k-25k,126648,2020,0.0004999989518214128
18-24,Male,NH-Black,Attended college or technical school,200k+,448,2020,1.7686779926725487e-06
18-24,Male,NH-Black,Attended college or technical school,25k-35k,69752,2020,0.00027537684675199917
18-24,Male,NH-Black,Attended college or technical school,35k-50k,33093,2020,0.00013064924288284075
18-24,Male,NH-Black,Attended college or technical school,50k-100k,12475,2020,4.9250575800424204e-05
18-24,Male,NH-Black,Attended college or technical school,<15k,605978,2020,0.002392365965722602
18-24,Male,NH-Black,Did not graduate high school,100k-200k,114,2020,4.5006538206399676e-07
18-24,Male,NH-Black,Did not graduate high school,15k-25k,22618,2020,8.929455097827614e-05
18-24,Male,NH-Black,Did not graduate high school,200k+,285,2020,1.125163455159992e-06
18-24,Male,NH-Black,Did not graduate high school,25k-35k,9792,2020,3.8658247554128565e-05
18-24,Male,NH-Black,Did not graduate high school,35k-50k,4747,2020,1.8740880426822742e-05
18-24,Male,NH-Black,Did not graduate high school,50k-100k,2094,2020,8.266990438964992e-06
18-24,Male,NH-Black,Did not graduate high school,<15k,340865,2020,0.00134571523208109
18-24,Male,NH-Black,Graduated college or technical school,100k-200k,523,2020,2.0647736387672835e-06
18-24,Male,NH-Black,Graduated college or technical school,15k-25k,16800,2020,6.632542472522057e-05
18-24,Male,NH-Black,Graduated college or technical school,200k+,234,2020,9.238184158155723e-07
18-24,Male,NH-Black,Graduated college or technical school,25k-35k,16021,2020,6.324997794778326e-05
18-24,Male,NH-Black,Graduated college or technical school,35k-50k,10926,2020,4.313521372308095e-05
18-24,Male,NH-Black,Graduated college or technical school,50k-100k,11020,2020,4.350632026618635e-05
18-24,Male,NH-Black,Graduated college or technical school,<15k,55934,2020,0.00022082418491550522
18-24,Male,NH-Black,Graduated high school,100k-200k,811,2020,3.2017809197710646e-06
18-24,Male,NH-Black,Graduated high school,15k-25k,134695,2020,0.0005317680406764039
18-24,Male,NH-Black,Graduated high school,200k+,616,2020,2.4319322399247543e-06
18-24,Male,NH-Black,Graduated high school,25k-35k,72274,2020,0.0002853335563446781
18-24,Male,NH-Black,Graduated high school,35k-50k,34546,2020,0.00013638560253318273
18-24,Male,NH-Black,Graduated high school,50k-100k,11210,2020,4.425642923629301e-05
18-24,Male,NH-Black,Graduated high school,<15k,574524,2020,0.002268187399692418
18-24,Male,NH-White,Attended college or technical school,100k-200k,8375,2020,3.3064013813912044e-05
18-24,Male,NH-White,Attended college or technical school,15k-25k,508427,2020,0.0020072402807601026
18-24,Male,NH-White,Attended college or technical school,200k+,2931,2020,1.1571417849382233e-05
18-24,Male,NH-White,Attended college or technical school,25k-35k,314130,2020,0.001240167004103187
18-24,Male,NH-White,Attended college or technical school,35k-50k,211206,2020,0.0008338290270544606
18-24,Male,NH-White,Attended college or technical school,50k-100k,116619,2020,0.0004604050420256249
18-24,Male,NH-White,Attended college or technical school,<15k,2375426,2020,0.009378043949603085
18-24,Male,NH-White,Did not graduate high school,100k-200k,1418,2020,5.598181682164451e-06
18-24,Male,NH-White,Did not graduate high school,15k-25k,87442,2020,0.00034521593981087724
18-24,Male,NH-White,Did not graduate high school,200k+,409,2020,1.6147082567032866e-06
18-24,Male,NH-White,Did not graduate high school,25k-35k,47532,2020,0.00018765357666899907
18-24,Male,NH-White,Did not graduate high school,35k-50k,28115,2020,0.00011099638786604623
18-24,Male,NH-White,Did not graduate high school,50k-100k,17046,2020,6.729661844441131e-05
18-24,Male,NH-White,Did not graduate high school,<15k,772760,2020,0.003050811619682229
18-24,Male,NH-White,Graduated college or technical school,100k-200k,14745,2020,5.8212404022224846e-05
18-24,Male,NH-White,Graduated college or technical school,15k-25k,141319,2020,0.0005579192081394908
18-24,Male,NH-White,Graduated college or technical school,200k+,2089,2020,8.247250729225345e-06
18-24,Male,NH-White,Graduated college or technical school,25k-35k,112954,2020,0.0004459358347864622
18-24,Male,NH-White,Graduated college or technical school,35k-50k,138362,2020,0.0005462451437994625
18-24,Male,NH-White,Graduated college or technical school,50k-100k,179010,2020,0.0007067210880989128
18-24,Male,NH-White,Graduated college or technical school,<15k,375771,2020,0.0014835220937155274
18-24,Male,NH-White,Graduated high school,100k-200k,6868,2020,2.711446529838184e-05
18-24,Male,NH-White,Graduated high school,15k-25k,540742,2020,0.002134818024807454
18-24,Male,NH-White,Graduated high school,200k+,2598,2020,1.0256753180721611e-05
18-24,Male,NH-White,Graduated high school,25k-35k,360680,2020,0.001423943701779319
18-24,Male,NH-White,Graduated high school,35k-50k,223092,2020,0.0008807542650475541
18-24,Male,NH-White,Graduated high school,50k-100k,110644,2020,0.00043681608888674435
18-24,Male,NH-White,Graduated high school,<15k,1622506,2020,0.006405559498167782
25-29,Female,AIAN,Attended college or technical school,100k-200k,50,2020,1.973970973964898e-07
25-29,Female,AIAN,Attended college or technical school,15k-25k,5625,2020,2.2207173457105104e-05
25-29,Female,AIAN,Attended college or technical school,200k+,25,2020,9.86985486982449e-08
25-29,Female,AIAN,Attended college or technical school,25k-35k,4826,2020,1.9052767840709197e-05
25-29,Female,AIAN,Attended college or technical school,35k-50k,3459,2020,1.3655931197889166e-05
25-29,Female,AIAN,Attended college or technical school,50k-100k,1634,2020,6.450937142917287e-06
25-29,Female,AIAN,Attended college or technical school,<15k,12009,2020,4.741083485268892e-05
25-29,Female,AIAN,Did not graduate high school,15k-25k,951,2020,3.754492792481236e-06
25-29,Female,AIAN,Did not graduate high school,25k-35k,309,2020,1.219914061910307e-06
25-29,Female,AIAN,Did not graduate high school,35k-50k,156,2020,6.158789438770482e-07
25-29,Female,AIAN,Did not graduate high school,50k-100k,272,2020,1.0738402098369046e-06
25-29,Female,AIAN,Did not graduate high school,<15k,5933,2020,2.342313957706748e-05
25-29,Female,AIAN,Graduated college or technical school,100k-200k,73,2020,2.881997621988751e-07
25-29,Female,AIAN,Graduated college or technical school,15k-25k,1241,2020,4.899395957380877e-06
25-29,Female,AIAN,Graduated college or technical school,200k+,66,2020,2.6056416856336657e-07
25-29,Female,AIAN,Graduated college or technical school,25k-35k,1612,2020,6.364082420062831e-06
25-29,Female,AIAN,Graduated college or technical school,35k-50k,1982,2020,7.824820940796857e-06
25-29,Female,AIAN,Graduated college or technical school,50k-100k,2018,2020,7.966946850922328e-06
25-29,Female,AIAN,Graduated college or technical school,<15k,2564,2020,1.0122523154491997e-05
25-29,Female,AIAN,Graduated high school,100k-200k,73,2020,2.881997621988751e-07
25-29,Female,AIAN,Graduated high school,15k-25k,3659,2020,1.4445519587475125e-05
25-29,Female,AIAN,Graduated high school,200k+,5,2020,1.9739709739648982e-08
25-29,Female,AIAN,Graduated high school,25k-35k,2445,2020,9.652718062688352e-06
25-29,Female,AIAN,Graduated high school,35k-50k,2357,2020,9.305299171270529e-06
25-29,Female,AIAN,Graduated high school,50k-100k,789,2020,3.1149261969166093e-06
25-29,Female,AIAN,Graduated high school,<15k,12559,2020,4.958220292405031e-05
25-29,Female,Asian,Attended college or technical school,100k-200k,1498,2020,5.914017037998834e-06
25-29,Female,Asian,Attended college or technical school,15k-25k,51920,2020,0.00020497714593651503
25-29,Female,Asian,Attended college or technical school,200k+,331,2020,1.3067687847647625e-06
25-29,Female,Asian,Attended college or technical school,25k-35k,52000,2020,0.0002052929812923494
25-29,Female,Asian,Attended college or technical school,35k-50k,42099,2020,0.00016620440806589649
25-29,Female,Asian,Attended college or technical school,50k-100k,24948,2020,9.849325571695256e-05
25-29,Female,Asian,Attended college or technical school,<15k,114615,2020,0.0004524933663619736
25-29,Female,Asian,Did not graduate high school,100k-200k,550,2020,2.171368071361388e-06
25-29,Female,Asian,Did not graduate high school,15k-25k,7351,2020,2.9021321259231933e-05
25-29,Female,Asian,Did not graduate high school,200k+,38,2020,1.5002179402133225e-07
25-29,Female,Asian,Did not graduate high school,25k-35k,4719,2020,1.8630338052280707e-05
25-29,Female,Asian,Did not graduate high school,35k-50k,2600,2020,1.026464906461747e-05
25-29,Female,Asian,Did not graduate high school,50k-100k,1370,2020,5.408680468663821e-06
25-29,Female,Asian,Did not graduate high school,<15k,35430,2020,0.00013987558321515268
