_STATE,state_code,age_group,sex,education,income_group,race_group,observed,n,predicted,residual
2.0,1,35-39,Male,Attended college or technical school,50k-100k,NH-White,0.32837323364016985,49.0,0.40164909533872367,-0.07327586169855382
2.0,1,35-39,Male,Graduated college or technical school,100k-200k,NH-White,0.29903697645750177,101.0,0.3078144347628478,-0.008777458305346042
2.0,1,35-39,Male,Graduated college or technical school,200k+,NH-White,0.21784739784057205,36.0,0.23320157966134916,-0.015354181820777107
2.0,1,35-39,Male,Graduated college or technical school,50k-100k,NH-White,0.3147386101317605,58.0,0.32654569506847825,-0.011807084936717727
2.0,1,35-39,Male,Graduated high school,50k-100k,NH-White,0.38964553039015415,36.0,0.40340428618641827,-0.013758755796264122
2.0,1,40-44,Female,Attended college or technical school,100k-200k,NH-White,0.4181966220841855,41.0,0.4223907991387854,-0.004194177054599901
2.0,1,40-44,Female,Attended college or technical school,50k-100k,NH-White,0.5400966892174471,36.0,0.4436257544679732,0.09647093474947394
2.0,1,40-44,Female,Graduated college or technical school,100k-200k,NH-White,0.36930635483535174,127.0,0.3456494170324516,0.023656937802900124
2.0,1,40-44,Female,Graduated college or technical school,200k+,NH-White,0.27469629538401114,34.0,0.2653816734565559,0.009314621927455247
2.0,1,40-44,Female,Graduated college or technical school,50k-100k,NH-White,0.32430862964641005,94.0,0.3654674089074987,-0.04115877926108863
2.0,1,40-44,Male,Attended college or technical school,100k-200k,NH-White,0.3701387186363553,53.0,0.4012606162628876,-0.031121897626532335
2.0,1,40-44,Male,Attended college or technical school,50k-100k,NH-White,0.3327892332262832,46.0,0.4222097760419756,-0.08942054281569245
2.0,1,40-44,Male,Graduated college or technical school,100k-200k,NH-White,0.3886040520668192,85.0,0.32619025673655566,0.06241379533026353
2.0,1,40-44,Male,Graduated college or technical school,200k+,NH-White,0.2515407253198855,53.0,0.248723722296745,0.0028170030231405296
2.0,1,40-44,Male,Graduated college or technical school,50k-100k,NH-White,0.2525389924917039,70.0,0.34548161120730825,-0.09294261871560433
2.0,1,40-44,Male,Graduated high school,50k-100k,NH-White,0.30829076590722215,41.0,0.42399114904173874,-0.11570038313451658
2.0,1,45-49,Female,Graduated college or technical school,100k-200k,NH-White,0.28670436138493244,103.0,0.3656699189891789,-0.07896555760424645
2.0,1,45-49,Female,Graduated college or technical school,200k+,NH-White,0.3702711659769565,48.0,0.2827620044471683,0.08750916152978816
2.0,1,45-49,Female,Graduated college or technical school,50k-100k,NH-White,0.4570480029160944,67.0,0.3859587337968836,0.07108926911921076
2.0,1,45-49,Male,Attended college or technical school,100k-200k,NH-White,0.41884835670694054,48.0,0.4224227963540035,-0.0035744396470629436
2.0,1,45-49,Male,Attended college or technical school,50k-100k,NH-White,0.5611980136856533,34.0,0.44365812472816185,0.1175398889574914
2.0,1,45-49,Male,Graduated college or technical school,100k-200k,NH-White,0.3645548141270429,125.0,0.34567907998136366,0.018875734145679224
2.0,1,45-49,Male,Graduated college or technical school,200k+,NH-White,0.25385598638036894,54.0,0.2654072419571234,-0.01155125557675446
2.0,1,45-49,Male,Graduated college or technical school,50k-100k,NH-White,0.32696083163413764,50.0,0.3654978226216726,-0.038536990987534936
2.0,1,45-49,Male,Graduated high school,50k-100k,NH-White,0.18510523330164425,34.0,0.4454602233973449,-0.2603549900957007
2.0,1,50-54,Female,Attended college or technical school,100k-200k,NH-White,0.5287702913644349,44.0,0.4489870059083848,0.07978328545605007
2.0,1,50-54,Female,Attended college or technical school,50k-100k,NH-White,0.6023265269769953,42.0,0.47046997227865867,0.13185655469833663
2.0,1,50-54,Female,Graduated college or technical school,100k-200k,NH-White,0.29707027006768916,130.0,0.37051312623922666,-0.07344285617153751
