age_group,sex,education,income_group,race_group,obesity_rate,n,reliable,obesity_rate_smoothed,obesity_rate_modeled
80+,Male,Graduated high school,25k-35k,NH-White,0.2060938905948167,2562,1,0.2076388309882368,0.2263405521118818
40-44,Male,Graduated high school,50k-100k,NH-White,0.4644817339904866,2561,1,0.463035516390284,0.42851997392622676
80+,Male,Graduated high school,35k-50k,NH-White,0.2144144941829706,2553,1,0.2158681788101872,0.22151669713704786
75-79,Female,Graduated high school,35k-50k,NH-White,0.3063076081204344,2543,1,0.3066955109474754,0.34474771682753036
75-79,Male,Graduated high school,50k-100k,NH-White,0.3756267864635257,2526,1,0.3752036638593331,0.31925581995652025
30-34,Male,Graduated high school,50k-100k,NH-White,0.3422114262250293,2507,1,0.3421802710933141,0.3806995441355956
75-79,Female,Graduated high school,15k-25k,NH-White,0.3501678700252458,2489,1,0.3500417350974301,0.34869562257502
80+,Female,Graduated high school,50k-100k,NH-White,0.2320415892742958,2478,1,0.2333278949119994,0.23194900988616415
70-74,Male,Graduated college or technical school,200k+,NH-White,0.2010847486351597,2468,1,0.2027479831261665,0.20344587993200056
35-39,Male,Graduated high school,50k-100k,NH-White,0.3707779655318755,2466,1,0.3704029508089722,0.4078689220706686
60-64,Female,Attended college or technical school,35k-50k,NH-White,0.3999243078054539,2453,1,0.3991951789224197,0.43869186495490925
80+,Male,Graduated high school,50k-100k,NH-White,0.2156764605526275,2444,1,0.2171788891706594,0.21677037874786828
25-29,Male,Attended college or technical school,50k-100k,NH-White,0.3186194741881953,2428,1,0.3188752585624604,0.32748999934200956
70-74,Female,Graduated high school,15k-25k,NH-White,0.4028462023708554,2416,1,0.4020702073367033,0.3933007542316938
45-49,Male,Graduated high school,50k-100k,NH-White,0.4467647050202549,2414,1,0.4454489771425879,0.4500391991931966
18-24,Male,Attended college or technical school,50k-100k,NH-White,0.1800403293021158,2410,1,0.1820018425556101,0.2097113434661309
65-69,Female,Graduated high school,15k-25k,NH-White,0.4117986500842299,2396,1,0.4109055514507025,0.41855348874158177
75-79,Female,Graduated high school,50k-100k,NH-White,0.290078359690432,2389,1,0.2906922296478014,0.33850912527543
35-39,Male,Attended college or technical school,100k-200k,NH-White,0.4026442619541372,2373,1,0.4018569021368112,0.3854243696680232
25-29,Male,Graduated high school,50k-100k,NH-White,0.3123905552442896,2368,1,0.3127306659866837,0.32909936107833343
70-74,Male,Graduated high school,35k-50k,NH-White,0.3816607643787233,2350,1,0.3811302934905838,0.36862105603486955
55-59,Male,Graduated high school,100k-200k,NH-White,0.4590265331655664,2315,1,0.4574983908297978,0.4141590379364607
60-64,Male,Graduated high school,100k-200k,NH-White,0.4293555773706947,2306,1,0.428202595733909,0.39158186903171505
80+,Male,Attended college or technical school,35k-50k,NH-White,0.2071026212064453,2299,1,0.2088090289270963,0.2202607141152639
75-79,Male,Graduated college or technical school,35k-50k,NH-White,0.2813231725575714,2298,1,0.2820738628672202,0.25692629837173986
30-34,Female,Attended college or technical school,50k-100k,NH-White,0.386297994002351,2286,1,0.3856927964192418,0.39972058066869504
65-69,Male,Graduated college or technical school,35k-50k,NH-White,0.3311401298605338,2259,1,0.3312507014296791,0.3173574622189031
65-69,Female,Attended college or technical school,15k-25k,NH-White,0.420352363224834,2183,1,0.4192573480060561,0.4167784312315135
70-74,Female,Attended college or technical school,15k-25k,NH-White,0.4225431073944859,2177,1,0.4214153362099617,0.3915606713159634
70-74,Male,Attended college or technical school,25k-35k,NH-White,0.3917768904729603,2176,1,0.3910670062949915,0.37339566606845587
70-74,Male,Graduated high school,25k-35k,NH-White,0.3998140086387891,2168,1,0.3989918439246971,0.37510479132219254
45-49,Female,Attended college or technical school,100k-200k,NH-White,0.4375977317925894,2168,1,0.4362598656705748,0.4484170708427957
60-64,Female,Graduated college or technical school,35k-50k,NH-White,0.3490450179938008,2141,1,0.3489141804432599,0.36083901574348287
65-69,Male,Graduated high school,15k-25k,NH-White,0.4091432977122674,2115,1,0.4081703388713451,0.39748316881589213
50-54,Male,Graduated high school,100k-200k,NH-White,0.5021785182794467,2108,1,0.499896921772995,0.4338410204244518
80+,Female,Graduated college or technical school,100k-200k,NH-White,0.1207164677645505,2101,1,0.123797560296063,0.16570263218953235
70-74,Female,Graduated college or technical school,25k-35k,NH-White,0.3684559887747992,2101,1,0.3680494296731312,0.31958499793022677
65-69,Male,Attended college or technical school,25k-35k,NH-White,0.424395248324433,2095,1,0.4231978105681301,0.3982092033388116
80+,Female,Graduated college or technical school,25k-35k,NH-White,0.1712573303095228,2090,1,0.1736392087568359,0.1862759463100312
75-79,Male,Attended college or technical school,35k-50k,NH-White,0.3518172328258207,2088,1,0.3516438547487739,0.3237143000612782
60-64,Female,Attended college or technical school,25k-35k,NH-White,0.3961164398466813,2084,1,0.3953140789300253,0.4455383713642439
60-64,Male,Graduated high school,35k-50k,NH-White,0.4091991333847676,2076,1,0.4082073614075817,0.41911113383219567
60-64,Female,Graduated high school,35k-50k,NH-White,0.4087211577424717,2070,1,0.4077333803545267,0.4404897629231309
75-79,Male,Graduated high school,35k-50k,NH-White,0.3696399814583078,2045,1,0.3692053321926887,0.3253140826053413
18-24,Male,Graduated college or technical school,50k-100k,NH-White,0.1868430180041234,2043,1,0.1890533468403346,0.16084990552371672
65-69,Female,Attended college or technical school,100k-200k,NH-White,0.3173093762957275,2033,1,0.3176331867313638,0.38516394446436597
40-44,Female,Attended college or technical school,100k-200k,NH-White,0.3549540618360968,2029,1,0.3547300115022,0.42691519942668676
60-64,Female,Graduated high school,25k-35k,NH-White,0.4045745607384019,1969,1,0.4035991057086058,0.4473419663701416
50-54,Female,Graduated high school,50k-100k,NH-White,0.477591492739771,1968,1,0.4755191991638934,0.4769061080435013
65-69,Female,Graduated college or technical school,25k-35k,NH-White,0.3887705447732346,1962,1,0.3880296742282509,0.3427787931005267
18-24,Male,Graduated high school,35k-50k,NH-White,0.2143040668516162,1954,1,0.2161983109101047,0.21557697674067236
60-64,Male,Graduated high school,25k-35k,NH-White,0.4157548738852342,1943,1,0.4145965647119106,0.4258839120879434
60-64,Female,Graduated high school,15k-25k,NH-White,0.4336801053914279,1939,1,0.4322463314228381,0.4447898239305282
30-34,Male,Graduated college or technical school,200k+,NH-White,0.1836282707779888,1921,1,0.1860262482737602,0.2165984258178926
60-64,Male,Graduated high school,15k-25k,NH-White,0.3942251417696796,1903,1,0.39337700310672,0.42336041074609193
18-24,Female,Graduated college or technical school,50k-100k,NH-White,0.1305263325194459,1902,1,0.1337724568683104,0.1729776674985267
40-44,Male,Graduated high school,100k-200k,NH-White,0.4277401830272415,1895,1,0.4263662073008895,0.4074785239449496
75-79,Female,Attended college or technical school,15k-25k,NH-White,0.3565564231224978,1892,1,0.356291391657313,0.3470400014574597
45-49,Male,Graduated high school,100k-200k,NH-White,0.4675521712748453,1839,1,0.4654979910069717,0.42873381556539325
18-24,Male,Graduated high school,100k-200k,NH-White,0.1585109535318135,1827,1,0.1614360874099154,0.19688552216884925
70-74,Male,Attended college or technical school,100k-200k,NH-White,0.3424653960325751,1804,1,0.3424181443077181,0.34081158762005936
60-64,Female,Attended college or technical school,15k-25k,NH-White,0.4555546527466334,1799,1,0.4536523359807453,0.4429882708257528
75-79,Male,Graduated college or technical school,200k+,NH-White,0.1919753553273146,1777,1,0.1944258487184436,0.17419056421429566
75-79,Male,Graduated high school,25k-35k,NH-White,0.354592226100437,1755,1,0.3543398649993594,0.33143594870981913
60-64,Male,Attended college or technical school,35k-50k,NH-White,0.4117244350115058,1716,1,0.4104847839045438,0.41733540882786185
30-34,Male,Attended college or technical school,100k-200k,NH-White,0.3720135014306328,1691,1,0.3714480727116732,0.35884402904076595
65-69,Female,Graduated college or technical school,200k+,NH-White,0.1535105954858655,1658,1,0.1568174582542386,0.23633082950945666
