age_group,sex,education,income_group,race_group,predicted,observed,n,reliable
75-79,Male,Attended college or technical school,100k-200k,NH-White,0.2906926208819988,0.3333985911317572,1140,1
55-59,Male,Attended college or technical school,35k-50k,NH-White,0.429702224630579,0.4256625590448226,1137,1
25-29,Male,Attended college or technical school,100k-200k,NH-White,0.3000130022345144,0.3024012971400985,1119,1
50-54,Female,Graduated college or technical school,35k-50k,NH-White,0.3917726840086789,0.4253166244505722,1107,1
30-34,Female,Attended college or technical school,35k-50k,NH-White,0.3961400994618521,0.4644335217473205,1097,1
40-44,Female,Attended college or technical school,35k-50k,NH-White,0.4443193565009399,0.4847261859791467,1095,1
55-59,Female,Attended college or technical school,15k-25k,NH-White,0.4554196056367817,0.4658543567907794,1094,1
70-74,Female,Graduated college or technical school,200k+,NH-White,0.2112459625513192,0.1481591907254311,1086,1
50-54,Female,Graduated high school,100k-200k,NH-White,0.444628232562378,0.4000834406392943,1085,1
75-79,Male,Graduated high school,15k-25k,NH-White,0.32005687758025353,0.3115978621580225,1079,1
35-39,Female,Attended college or technical school,35k-50k,NH-White,0.4235516071198924,0.4950777511114555,1075,1
30-34,Female,Graduated college or technical school,35k-50k,NH-White,0.3217689298256934,0.3732970172826513,1070,1
40-44,Female,Graduated college or technical school,35k-50k,NH-White,0.3664054806111833,0.3465464938491497,1069,1
18-24,Female,Graduated high school,25k-35k,NH-White,0.22852179370366968,0.2859481752634024,1064,1
60-64,Female,Attended college or technical school,<15k,NH-White,0.42584032605025857,0.414438673787754,1051,1
18-24,Male,Graduated high school,50k-100k,Hispanic,0.22925366951539172,0.2469474109688802,1038,1
45-49,Female,Attended college or technical school,35k-50k,NH-White,0.46589959333989606,0.4905132351326563,1034,1
25-29,Male,Attended college or technical school,35k-50k,NH-White,0.3244545859768386,0.3078381771473407,1031,1
30-34,Male,Graduated high school,35k-50k,NH-White,0.3772524815300328,0.3304318712790505,1022,1
18-24,Male,Attended college or technical school,25k-35k,NH-White,0.21232427024899483,0.1710185630600153,1020,1
55-59,Female,Graduated high school,<15k,NH-White,0.4506438865354203,0.4549214909851255,1017,1
30-34,Female,Attended college or technical school,100k-200k,NH-White,0.36925965142105266,0.3000074673757711,1014,1
65-69,Female,Attended college or technical school,<15k,NH-White,0.4000148084276528,0.3937463538636218,1007,1
70-74,Female,Graduated high school,<15k,NH-White,0.37695680304669044,0.3949107906317854,1007,1
35-39,Female,Graduated college or technical school,35k-50k,NH-White,0.3469998616623722,0.4145125012879831,1002,1
50-54,Male,Graduated high school,35k-50k,NH-White,0.451277778775146,0.4347991899783985,997,1
30-34,Male,Attended college or technical school,35k-50k,NH-White,0.37554576756928604,0.345027428973755,991,1
65-69,Male,Graduated high school,<15k,NH-White,0.3810593084085279,0.3541480938328885,989,1
18-24,Female,Attended college or technical school,25k-35k,NH-White,0.22724118523268247,0.2623274567835645,988,1
35-39,Male,Graduated high school,35k-50k,NH-White,0.40423377172970276,0.3515522730540065,987,1
35-39,Male,Attended college or technical school,35k-50k,NH-White,0.4024840654084615,0.3685750540094388,980,1
18-24,Female,Attended college or technical school,35k-50k,NH-White,0.22241663338823028,0.2419152123836844,962,1
